name,road,direction,nr_sensors,nr_edges,nr_timestamps,net_name,hidden_dim,val_loss,running_time,nr_train_samples,nr_test_samples,batch_size,nr_epochs,best_model_size
TLS_A23_1_60min,A23,1,18,124,4681,GCN_LSTM,50,0.297150582075119,217.3451738357544,3409,853,512,57,722655
TLS_A23_1_60min,A23,1,18,124,4681,A3TGCN,50,1.0149080753326416,120.65013837814331,3409,853,4096,8,357755
TLS_A23_1_60min,A23,1,18,124,4681,GCN_LSTM,100,0.29018357396125793,240.46438813209534,3409,853,256,40,2780511
TLS_A23_1_60min,A23,1,18,124,4681,A3TGCN,100,1.0085110664367676,125.30247855186462,3409,853,1024,8,1164091
TLS_A23_1_30min,A23,1,18,124,9361,GCN_LSTM,50,1.0200542211532593,85.84106707572937,7032,1759,512,8,722591
TLS_A23_1_30min,A23,1,18,124,9361,A3TGCN,50,1.005527377128601,135.78894591331482,7032,1759,2048,8,357755
TLS_A23_1_30min,A23,1,18,124,9361,GCN_LSTM,100,0.23355567455291748,245.6051197052002,7032,1759,256,26,2780511
TLS_A23_1_30min,A23,1,18,124,9361,A3TGCN,100,0.5179242491722107,2217.418976545334,7032,1759,1024,279,1164091
TLS_A23_1_5min,A23,1,18,124,56161,GCN_LSTM,50,0.4569553732872009,345.39038133621216,43867,10967,512,24,722655
TLS_A23_1_5min,A23,1,18,124,56161,A3TGCN,50,1.0508345365524292,252.30261707305908,43867,10967,2048,8,357755
TLS_A23_1_5min,A23,1,18,124,56161,GCN_LSTM,100,1.0535972118377686,323.9745488166809,43867,10967,256,8,2780511
TLS_A23_1_5min,A23,1,18,124,56161,A3TGCN,100,1.0468456745147705,352.48107743263245,43867,10967,1024,8,1164091
TLS_A23_2_60min,A23,2,18,124,4681,GCN_LSTM,50,0.9881030917167664,81.41436171531677,3409,853,512,8,722591
TLS_A23_2_60min,A23,2,18,124,4681,A3TGCN,50,0.9844857454299927,128.51146697998047,3409,853,4096,8,357755
TLS_A23_2_60min,A23,2,18,124,4681,GCN_LSTM,100,0.2853693962097168,208.01454186439514,3409,853,256,31,2780511
TLS_A23_2_60min,A23,2,18,124,4681,A3TGCN,100,0.9790440201759338,132.37572312355042,3409,853,1024,8,1164091
TLS_A23_2_30min,A23,2,18,124,9361,GCN_LSTM,50,1.0136648416519165,130.94031238555908,7032,1759,512,17,722591
TLS_A23_2_30min,A23,2,18,124,9361,A3TGCN,50,0.5238156318664551,506.9465870857239,7032,1759,2048,73,357755
TLS_A23_2_30min,A23,2,18,124,9361,GCN_LSTM,100,0.25587666034698486,231.7229130268097,7032,1759,256,23,2780511
TLS_A23_2_30min,A23,2,18,124,9361,A3TGCN,100,0.9932874441146851,158.45784306526184,7032,1759,1024,8,1164091
TLS_A23_2_5min,A23,2,18,124,56161,GCN_LSTM,50,1.0034027099609375,160.70916843414307,43867,10967,512,8,722655
TLS_A23_2_5min,A23,2,18,124,56161,A3TGCN,50,1.0289753675460815,258.3630838394165,43867,10967,2048,8,357755
TLS_A23_2_5min,A23,2,18,124,56161,GCN_LSTM,100,0.590801477432251,8617.25382900238,43867,10967,256,259,2780511
TLS_A23_2_5min,A23,2,18,124,56161,A3TGCN,100,1.0250808000564575,357.29483819007874,43867,10967,1024,8,1164091
"TLS_A23_1,2_60min",A23,"1,2",36,248,4681,GCN_LSTM,50,0.31791162490844727,458.42247772216797,3409,853,256,88,725087
"TLS_A23_1,2_60min",A23,"1,2",36,248,4681,A3TGCN,50,0.9910067915916443,136.93288850784302,3409,853,1024,8,360187
"TLS_A23_1,2_60min",A23,"1,2",36,248,4681,GCN_LSTM,100,0.30158716440200806,417.0798373222351,3409,853,128,44,2782943
"TLS_A23_1,2_60min",A23,"1,2",36,248,4681,A3TGCN,100,0.9880650639533997,152.48553013801575,3409,853,512,8,1166523
"TLS_A23_1,2_30min",A23,"1,2",36,248,9361,GCN_LSTM,50,0.9836874008178711,110.44909167289734,7032,1759,256,8,725087
"TLS_A23_1,2_30min",A23,"1,2",36,248,9361,A3TGCN,50,0.9946973323822021,160.3422451019287,7032,1759,1024,8,360187
"TLS_A23_1,2_30min",A23,"1,2",36,248,9361,GCN_LSTM,100,0.26727554202079773,504.5966980457306,7032,1759,128,31,2782943
"TLS_A23_1,2_30min",A23,"1,2",36,248,9361,A3TGCN,100,0.9925987720489502,195.8197500705719,7032,1759,512,8,1166523
"TLS_A23_1,2_5min",A23,"1,2",36,248,56161,GCN_LSTM,50,1.0150625705718994,275.6233034133911,43867,10967,256,8,725087
"TLS_A23_1,2_5min",A23,"1,2",36,248,56161,A3TGCN,50,1.0351582765579224,366.5753698348999,43867,10967,1024,8,360187
"TLS_A23_1,2_5min",A23,"1,2",36,248,56161,GCN_LSTM,100,1.0245097875595093,644.6869521141052,43867,10967,128,8,2782943
"TLS_A23_1,2_5min",A23,"1,2",36,248,56161,A3TGCN,100,1.0305731296539307,591.7643189430237,43867,10967,512,8,1166523
